英単語,日本語,英語意味
refuse,ごみ,food that is discarded (as from a kitchen)
regain,取り戻します,get or find back; recover the use of
regard,について,(usually preceded by `in') a detail or point
regarding,に対する,deem to be
region,領域,the extended spatial location of something
regional,地域の,characteristic of a region
register,登録,an official written record of names or events or transactions
registration,登録,the act of enrolling
regulation,規制,an authoritative rule
reject,拒絶します,the person or thing that is rejected or set aside as inferior in quality
relate,関連,make a logical or causal connection
relation,関係,an abstraction belonging to or characteristic of two entities or parts together
relationship,関係,"a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)"
relative,相対的,a person related by blood or marriage
relatively,比較的に,in a relative manner; by comparison to something else
relaxing,リラックス,"become less tense, rest, or take one's ease"
release,解除,merchandise issued for sale or public showing (especially a record or film)
reliable,信頼性のある,worthy of reliance or trust
religion,宗教,a strong belief in a supernatural power or powers that control human destiny
religious,宗教的な,a member of a religious order who is bound by vows of poverty and chastity and obedience
rely,頼ります,have confidence or faith in
remainder,余り,something left after other parts have been taken away
remark,リマーク,a statement that expresses a personal opinion or belief or adds information
remarkable,顕著,unusual or striking
remedy,療法,act of correcting an error or a fault or an evil
remembrance,記憶,the ability to recall past occurrences
remove,削除する,degree of figurative distance or separation;  or
renew,書き換えます,"reestablish on a new, usually improved, basis or make new or like new"
repay,報います,pay back
repeatedly,繰り返し,several time
reply,応答,a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
report,報告する,a written document describing the findings of some individual or group
representative,代表,a person who represents others
reproduce,再生,make a copy or equivalent of
republic,共和国,a political system in which the supreme power lies in a body of citizens who can elect people to represent them
reputation,評判,the state of being held in high esteem and honor
request,リクエスト,a formal message requesting something that is submitted to an authority
require,必要とする,"require as useful, just, or proper"
requirement,要件,required activity
rescue,救援,recovery or preservation from loss or danger
researcher,研究者,a scientist who devotes himself to doing research
resemble,似ています,appear like; be similar or bear a likeness to
reservation,予約,a district that is reserved for particular purpose
reserve,予備,formality and propriety of manner
resident,居住者,someone who lives at a particular place for a prolonged period or who was born there
residential,居住の,used or designed for residence or limited to residences
resist,抵抗します,"elude, especially in a baffling way"
resolve,決意,the trait of being resolute
resort,リゾート,a hotel located in a resort area
resource,資源,available source of wealth; a new or reserve supply that can be drawn upon when needed
respect,尊敬,(usually preceded by `in') a detail or point
respectable,まずまずの,characterized by socially or conventionally acceptable morals
respond,応答,show a response or a reaction to something
responsibility,責任,the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr
responsible,責任者,worthy of or requiring responsibility or trust; or held accountable
rest,残り,something left after other parts have been taken away
restore,戻す,return to its original or usable and functioning condition
restrict,制限します,place restrictions on
result,結果,a phenomenon that follows and is caused by some previous phenomenon
retail,小売り,the selling of goods to consumers; usually in small quantities and not for resale
retain,保ちます,hold back within
retell,再び語ります,"render verbally,"
retrospect,振り返ってみると,contemplation of things past
reunification,統一,the act of coming together again
reunify,再統一,"unify again, as of a country"
revise,改訂します,the act of rewriting something
revision,リビジョン,the act of revising or altering (involving reconsideration and modification)
reward,褒賞,a recompense for worthy acts or retribution for wrongdoing
rewrite,リライト,something that has been written again
rid,取り除きます,relieve from
riddle,謎,a difficult problem
ridiculous,ばかげました,inspiring scornful pity; - Dashiell Hammett
ripe,熟しました,fully developed or matured and ready to be eaten or used
rise,上がり,a growth in strength or number or importance
risk,危険,a source of danger; a possibility of incurring loss or misfortune
roadside,道端,edge of a way or road or path
robot,ロボット,a mechanism that can move automatically
rolling,圧延,a deep prolonged sound (as of thunder or large bells)
room,ルーム,an area within a building enclosed by walls and floor and ceiling
rotten,腐っ,very bad
rough,粗い,the part of a golf course bordering the fairway where the grass is not cut short
round,円形,a charge of ammunition for a single shot
routine,ルーチン,an unvarying or habitual method or procedure
rubber,ゴム,an elastic material obtained from the latex sap of trees (especially trees of the genera Hevea and Ficus) that can be vulcanized and finished into a variety of products
rubbish,ゴミ,worthless material that is to be disposed of
rudely,無礼,in an impolite manner
ruin,破滅,an irrecoverable state of devastation and destruction
runaway,逃げる,an easy victory
runway,滑走路,a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll
rush,ラッシュ,the act of moving hurriedly and in a careless manner
sacred,神聖,concerned with religion or religious purposes
sadness,悲しみ,emotions experienced when not in a state of well-being
safari,サファリ,an overland journey by hunters (especially in Africa)
safeguard,安全対策,a precautionary measure warding off impending danger or damage or injury etc.
safely,安全に,with safety; in a safe manner
safety,安全性,the state of being certain that adverse effects will not be caused by some agent under defined conditions
salesman,セールスマン,a man salesperson
salmon,サーモン,any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn
sand,砂,a loose material consisting of grains of rock or coral
sandal,サンダル,a shoe consisting of a sole fastened by straps to the foot
satellite,衛星,man-made equipment that orbits around the earth or the moon
satisfaction,満足,"the contentment one feels when one has fulfilled a desire, need, or expectation"
satisfied,満足,meet the requirements or expectations of
saucepan,鍋,a deep pan with a handle; used for stewing or boiling
saucer,受け皿,something with a round shape resembling a flat circular plate
scan,スキャン,the act of scanning; systematic examination of a prescribed region
scare,おびえ,sudden mass fear and anxiety over anticipated events
scared,おびえました,cause fear in
scary,怖いです,provoking fear terror
scatter,散布,a haphazard distribution in all directions
scenic,景色の,used of locations; having beautiful natural scenery
scholar,学者,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
scholarship,奨学金,financial aid provided to a student on the basis of academic merit
schoolmate,同窓生,an acquaintance that you go to school with
schoolteacher,学校の先生,a teacher in a school below the college level
scold,叱る,someone (especially a woman) who annoys people by constantly finding fault
scope,範囲,an area in which something acts or operates or has power or control:
score,スコア,a number or letter indicating quality (especially of a student's performance)
scratch,スクラッチ,an abraded area where the skin is torn or worn off
scream,悲鳴,sharp piercing cry
sculpture,彫刻,a three-dimensional work of plastic art
search,探す,the activity of looking thoroughly in order to find something or someone
season,シーズン,a period of the year marked by special events or activities in some field
seawater,海水,water containing salts
seaweed,海藻,"plant growing in the sea, especially marine algae"
second,第2,1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
secret,秘密,something that should remain hidden from others (especially information that is not to be passed on)
secretly,こっそり,in secrecy; not openly
secure,確保します,get by special effort
security,セキュリティ,the state of being free from danger or injury
seize,握ります,take hold of; grab
select,選択する,"pick out, select, or choose from a number of alternatives"
selection,選択,the act of choosing or selecting
selfish,利己的,concerned chiefly or only with yourself and your advantage to the exclusion of others; - Maria Weston Chapman
self-service,セルフサービス,the practice of serving yourself (as in a grocery or cafeteria)
sensation,感覚,an unelaborated elementary awareness of stimulation
separation,分離,the state of lacking unity
sequence,シーケンス,serial arrangement in which things follow in logical order or a recurrent pattern
series,シリーズ,similar things placed in order or happening one after another
serious,深刻,concerned with work or important matters rather than play or trivialities
server,サーバ,a person whose occupation is to serve at table (as in a restaurant)
service,サービス,work done by one person or group that benefits another
session,セッション,a meeting for execution of a group's functions
setting,セッティング,the context and environment in which something is set
settle,解決する,a long wooden bench with a back
settlement,決済,a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government
settler,開拓者,a person who settles in a new colony or moves into new country
severe,重度,intensely or extremely bad or unpleasant in degree or quality
severely,厳しく,to a severe or serious degree
sex,性別,activities associated with sexual intercourse
shadow,影,shade within clear boundaries
shadowy,ぼんやりしました,filled with shade
shake,シェイク,building material used as siding or roofing
shallow,浅い,a stretch of shallow water
shame,恥,a painful emotion resulting from an awareness of inadequacy or guilt
shameful,破廉恥な,(used of conduct or character) deserving or bringing disgrace or shame; - Rachel Carson
shape,形状,any spatial attributes (especially as defined by outline)
sharp,シャープ,a musical notation indicating one half step higher than the note named
shave,ひげをそります,the act of removing hair with a razor
sheer,全くの,turn sharply; change direction abruptly
sheet,シート,any broad thin expanse or surface
shelter,シェルター,a structure that provides privacy and protection from danger
sheriff,シェリフ,the principal law-enforcement officer in a county
shift,シフト,an event in which something is displaced without rotation
shiny,シャイニー,reflecting light
ship,輸送する,a vessel that carries passengers or freight
shiver,震える,a reflex motion caused by cold or fear or excitement
shocked,ショックを受けました,surprise greatly; knock someone's socks off
shocking,ショッキング,surprise greatly; knock someone's socks off
shop,ショップ,a mercantile establishment for the retail sale of goods or services
shopper,消費者,someone who visits stores in search of articles to buy
shortage,不足,the property of being an amount by which something is less than expected or required
shortly,まもなく,for a short time
shout,叫び,a loud utterance; often in protest or opposition
shrimp,エビ,disparaging terms for small people
shut,シャット,move so that an opening or passage is obstructed; make shut
sickness,病気,impairment of normal physiological function affecting part or all of an organism
sidewalk,歩道,walk consisting of a paved area for pedestrians; usually beside a street or roadway
sigh,はぁ,an utterance made by exhaling audibly
sign,符号,a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
signal,信号,any nonverbal action or gesture that encodes a message
signature,署名,your name written in your own handwriting
significance,意義,the quality of being significant
signpost,道標,a post bearing a sign that gives directions or shows the way
silent,サイレント,marked by absence of sound
silk,シルク,a fabric made from the fine threads produced by certain insect larvae
similarity,相似,the quality of being similar
similarly,同様に,in like or similar manner; ; - Samuel Johnson
simplify,簡略化する,make simpler or easier or reduce in complexity or extent
simultaneously,同時に,at the same instant
single,シングル,a base hit on which the batter stops safely at first base
sink,シンク,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
skate,スケート,sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs
skeleton,スケルトン,something reduced to its minimal form
ski,スキー,narrow wood or metal or plastic runners used in pairs for gliding over snow
skin,肌,a natural protective body covering and site of the sense of touch
skyscraper,摩天楼,a very tall building with many stories
slavery,奴隷,the state of being under the control of another person
sleep,睡眠,a natural and periodic state of rest during which consciousness of the world is suspended
sleeve,スリーブ,the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
slight,わずかな,a deliberate discourteous act (usually as an expression of anger or disapproval)
slightly,わずかに,to a small degree or extent
slip,スリップ,a socially awkward or tactless act
slogan,スローガン,a favorite saying of a sect or political group
slope,スロープ,an elevated geological formation
slot,スロット,a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
slow,スロー,lose velocity; move more slowly
smell,香り,the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
smile,スマイル,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
smoker,スモーカー,a person who smokes tobacco
sneeze,くしゃみ,a symptom consisting of the involuntary expulsion of air from the nose
snowboard,スノーボード,a board that resembles a broad ski or a small surfboard; used in a standing position to slide down snow-covered slopes
snowstorm,吹雪,a storm with widespread snowfall accompanied by strong winds
socially,社会的に,by or with respect to society
soil,土,the state of being covered with unclean things
solid,固体,matter that is solid at room temperature and pressure
somehow,何とかして,in some unspecified way or manner; or by some unspecified means
someplace,どこかに,in or at or to some place; ; (`someplace' is used informally for `somewhere')
sometime,いつか,belonging to some prior time
sometimes,時々,on certain occasions or in certain cases but not always
soothe,スーズ,give moral or emotional strength to
sophomore,年生,a second-year undergraduate
sore,痛いです,an open skin infection
sorrow,悲しみ,an emotion of great sadness associated with loss or bereavement
sort,ソート,a category of things distinguished by some common characteristic or quality
soul,魂,the immaterial part of a person; the actuating cause of an individual life
sour,サワー,a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
southeast,南東,the compass point midway between south and east; at 135 degrees
southern,南方の,in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line
southwest,南西,the compass point midway between south and west; at 225 degrees
souvenir,お土産,something of sentimental value
sparkle,輝く,merriment expressed by a brightness or gleam or animation of countenance
specialist,スペシャリスト,an expert who is devoted to one occupation or branch of learning
specialize,専門にします,become more focus on an area of activity or field of study
specially,特別,in a special manner
spectacular,壮観な,a lavishly produced performance
spectator,観客,a close observer; someone who looks at something (such as an exhibition of some kind)
speed,速度,distance travelled per unit time
spelling,つづり,forming words with letters according to the principles underlying accepted usage
sphere,球,a particular environment or walk of life
spice,スパイス,aromatic substances of vegetable origin used as a preservative
spicy,スパイシー,having an agreeably pungent taste
spider,クモ,"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey"
spinach,ほうれん草,southwestern Asian plant widely cultivated for its succulent edible dark green leaves
spiral,螺旋,a plane curve traced by a point circling about the center but at increasing distances from the center
spirit,精神,the vital principle or animating force within living things
spiritual,スピリチュアル,a kind of religious song originated by Blacks in the southern United States
split,スプリット,extending the legs at right angles to the trunk (one in front and the other in back)
spoil,台無し,(usually plural) valuables taken by violence (especially in war)
sponge,スポンジ,a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used
sponsor,スポンサー,someone who supports or champions something
sports,スポーツの,an active diversion requiring physical exertion and competition
sportsmanship,スポーツマンシップ,fairness in following the rules of the game
stable,安定しました,a farm building for housing horses or other livestock
stall,失速,a compartment in a stable where a single animal is confined and fed
standard,標準,a basis for comparison; a reference point against which other things can be evaluated
star,星,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
stare,見詰める,a fixed look with eyes open wide
status,状態,the relative position or standing of things or especially persons in a society
stay,滞在,continuing or remaining in a place or state
steadily,どんどん,at a steady rate or pace
steady,安定しました,a person loved by another person
steam,蒸気,water at boiling temperature diffused in the atmosphere
steel,鋼,an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range
steep,急勾配の,a steep place (as on a hill)
stem,幹,(linguistics) the form of a word after all affixes are removed
stick,スティック,an implement consisting of a length of wood
sticker,ステッカー,a small sharp-pointed tip resembling a spike on a stem or leaf
sticky,スティッキー,having the sticky properties of an adhesive
stir,攪拌,a prominent or sensational but short-lived news event
storage,ストレージ,the act of storing something
stormy,波乱,(especially of weather) affected or characterized by storms or commotion
storyteller,ストーリーテラー,someone who tells a story
strain,歪み,(physics) deformation of a physical body under the action of applied forces
strangely,変に,in a strange manner
strategic,戦略的,relating to or concerned with strategy
straw,ストロー,plant fiber used e.g. for making baskets and hats or as fodder
strawberry,イチゴ,sweet fleshy red fruit
stream,ストリーム,a natural body of running water flowing on or under the earth
strengthen,強化する,make strong or stronger
stress,ストレス,the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
stressed,強調,"to stress, single out as important"
stressful,ストレスの多いです,extremely irritating to the nerves
stretch,ストレッチ,a large and unbroken expanse or distance
stricken,被災,grievously affected especially by disease
strike,攻撃,a group's refusal to work in protest against low pay or bad work conditions
strip,ストリップ,a relatively long narrow piece of something
stripe,ストライプ,an adornment consisting of a strip of a contrasting color or material
struggle,闘い,an energetic attempt to achieve something
stubborn,頑強,tenaciously unwilling or marked by tenacious unwillingness to yield
stuck,立ち往生,"put, fix, force, or implant"
studio,スタジオ,workplace for the teaching or practice of an art
stuffed,つめた,cram into a cavity
stumble,躓きます,an unsteady uneven gait
stun,気絶,make senseless or dizzy by or as if by a blow
stunning,すばらしいです,make senseless or dizzy by or as if by a blow
stupid,愚か,a person who is not very bright
stylish,スタイリッシュ,having elegance or taste or refinement in manners or dress
subconscious,潜在意識,psychic activity just below the level of awareness
submarine,潜水艦,a submersible warship usually armed with torpedoes
substantial,実質的,fairly large
substitute,代替,a person or thing that takes or can take the place of another
suddenly,突然,happening unexpectedly
suffer,苦しみます,undergo or be subjected to
sufficient,十分,of a quantity that can fulfill a need or requirement but without being abundant
suffix,サフィックス,an affix that is added at the end of the word
suicide,自殺,the act of killing yourself
summarize,要約します,give a summary (of)
summit,サミット,the highest level or degree attainable; the highest stage of development
sunbathe,日光浴をします,expose one's body to the sun
sundial,日時計,timepiece that indicates the daylight hours by the shadow that the gnomon casts on a calibrated dial
sunrise,日の出,the first light of day
sunset,日没,the time in the evening at which the sun begins to fall below the horizon
superior,優れました,one of greater rank or station or quality
superstition,迷信,an irrational belief arising from ignorance or fear
supply,サプライ,an amount of something available for use
support,サポート,the activity of providing for or maintaining by supplying with money or necessities
supporter,支援者,a person who backs a politician or a team etc.
supportive,支援,furnishing support or assistance
suppose,思います,express a supposition
supposedly,たぶん,believed or reputed to be the case
surely,確かに,definitely or positively (`sure' is sometimes used informally for `surely')
surface,表面,the outer boundary of an artifact or a material layer constituting or resembling such a boundary
surgeon,外科医,a physician who specializes in surgery
surgery,手術,the branch of medical science that treats disease or injury by operative procedures
surprise,驚き,the astonishment you feel when something totally unexpected happens to you
surprisingly,意外と,in a surprising manner
surround,囲む,the area in which something exists or lives
surrounding,囲繞,extend on all sides of simultaneously; encircle
survival,生存,a state of surviving; remaining alive
survivor,生存者,one who lives through affliction
suspect,容疑者,someone who is under suspicion
suspicion,疑い,an impression that something might be the case
swarm,群れ,a moving crowd
swear,誓う,utter obscenities or profanities
sweat,汗,salty fluid secreted by sweat glands
sweatshirt,トレーナー,cotton knit pullover with long sleeves worn during athletic activity
swell,うねり,the undulating movement of the surface of the open sea
swimmer,スイマー,a trained athlete who participates in swimming meets
switch,スイッチ,control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit
swollen,腫れ,"increase in size, magnitude, number, or intensity"
sword,剣,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
sympathy,同情,an inclination to support or be loyal to or to agree with an opinion
symptom,症状,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
syndrome,症候群,a complex of concurrent things
systematic,系統的,characterized by order and planning
tablet,タブレット,a slab of stone or wood suitable for bearing an inscription
take,取る,the income or profit arising from such transactions as the sale of land or other property
takeaway,取り除く,prepared food that is intended to be eaten off of the premises
takeoff,離陸,a departure; especially of airplanes
tale,物語,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
talented,才能,endowed with talent or talents
talk,トーク,an exchange of ideas via conversation
talkative,おしゃべりな,full of trivial conversation
tank,タンク,an enclosed armored military vehicle; has a cannon and moves on caterpillar treads
tape,テープ,a long thin piece of cloth or paper as used for binding or fastening
taste,味,the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
tasteless,殺風景,lacking flavor
tasty,おいしい,pleasing to the sense of taste
tax,税金,charge against a citizen's person or property or activity for the support of government
teaching,教育,the profession of a teacher
teammate,チームメイト,a fellow member of a team
teamwork,チームワーク,cooperative work done by a team (especially when it is effective)
tear,涙,a drop of the clear salty saline solution secreted by the lacrimal glands
tease,からかう,someone given to teasing (as by mocking or stirring curiosity)
technique,技術,a practical method or art applied to some particular task
technological,科学技術の,based in scientific and industrial progress
teen,ティーン,a juvenile between the onset of puberty and maturity
telecommunications,情報通信,(often plural) systems used in transmitting messages over a distance electronically
telegram,電報,a message transmitted by telegraph
teller,出納係,United States physicist (born in Hungary) who worked on the first atom bomb and the first hydrogen bomb (1908-2003)
temper,気性,a sudden outburst of anger
temporary,一時的,a worker (especially in an office) hired on a temporary basis
tempt,そそります,dispose or incline or entice to
tend,傾向があります,have a tendency or disposition to do or be something; be inclined
tendency,傾向,an attitude of mind especially one that favors one alternative over others
tense,時制,a grammatical category of verbs used to express distinctions of time
tension,テンション,(psychology) a state of mental or emotional strain or suspense
tent,テント,a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
term,期間,a word or expression used for some particular thing
terminal,ターミナル,station where transport vehicles load or unload passengers or goods
terribly,とても,used as intensifiers
terrific,凄まじいです,very great or intense
terrified,恐怖,fill with terror; frighten greatly
terror,テロ,an overwhelming feeling of fear and anxiety
terrorism,テロ,the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear
terrorist,テロリスト,a radical who employs terror as a political weapon; usually organizes with other terrorists in small cells; often uses religion as a cover for terrorist activities
thankful,感謝している,feeling or showing gratitude
theft,盗難,the act of taking something from someone unlawfully
theory,理論,a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena
thirst,渇き,a physiological need to drink
thorough,綿密な,painstakingly careful and accurate
threat,脅威,something that is a source of danger
threatening,脅かします,pose a threat to; present a danger to
thriller,スリラー,a suspenseful adventure story or play or movie
through,使って,having finished or arrived at completion
throughout,ずっと,from first to last
thumb,親指,the thick short innermost digit of the forelimb
thump,ゴツン,a heavy dull sound (as made by impact of heavy objects)
thunder,サンダー,a deep prolonged loud noise
thunderous,雷,loud enough to cause (temporary) hearing loss
thus,こうして,an aromatic gum resin obtained from various Arabian or East African trees; formerly valued for worship and for embalming and fumigation
tick,ダニ,a metallic tapping sound
tide,潮,the periodic rise and fall of the sea level under the gravitational pull of the moon
tie,ネクタイ,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
tighten,締め付けます,make tight or tighter
tightly,しっかり,in a tight or constricted manner
tile,タイル,a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces
till,迄,unstratified soil deposited by a glacier; consists of sand and clay and gravel and boulders mixed together
timely,タイムリーな,before a time limit expires
tin,錫,a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide
tiny,小さな,very small
tire,タイヤ,hoop that covers a wheel
tiring,疲れさせます,lose interest or become bored with something or somebody
tissue,組織,part of an organism consisting of an aggregate of cells having a similar structure and function
tobacco,タバコ,leaves of the tobacco plant dried and prepared for smoking or ingestion
tongue,舌,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
toothpaste,歯磨,a dentifrice in the form of a paste
top,上,the upper part of anything
tornado,竜巻,a localized and violently destructive windstorm occurring over land characterized by a funnel-shaped cloud extending toward the ground
toss,投げ捨てる,the act of flipping a coin
total,トータル,the whole amount
totally,全く,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
touch,接する,the event of something coming in contact with the body
tour,旅行,a journey or route all the way around a particular place or area
tourism,観光,the business of providing services to tourists
tournament,トーナメント,a sporting competition in which contestants play a series of games to decide the winner
trace,痕跡,a just detectable amount
traditionally,伝統的に,according to tradition; in a traditional manner
tragedy,悲劇,an event resulting in great loss and misfortune
tragic,悲劇,very sad; especially involving grief or death or destruction
trail,トレイル,a track or mark left by something that has passed
transfer,転送,the act of moving something from one location to another
transform,変換,subject to a mathematical transformation
transformation,変換,a qualitative change
transitional,過渡的,of or relating to or characterized by transition
translate,訳します,restate (words) from one language into another language
transport,輸送,something that serves as a means of transportation
transportation,交通,a facility consisting of the means and equipment necessary for the movement of passengers or goods
trash,ゴミ,worthless material that is to be disposed of
treat,御馳走,something considered choice to eat
treatment,処理,care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
tremble,震える,a reflex motion caused by cold or fear or excitement
tremendous,凄まじいです,extraordinarily large in size or extent or amount or power or degree; ; ; ; - Walter Lippman
trend,傾向,a general direction in which something tends to move
trigger,引き金,lever that activates the firing mechanism of a gun
trim,トリム,a state of arrangement or appearance
triumph,勝利,a successful ending of a struggle or contest
tropical,トロピカル,relating to or situated in or characteristic of the tropics (the region on either side of the equator)
trouble,トラブル,a source of difficulty
trumpet,トランペット,a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves
trustworthy,信頼できます,worthy of trust or belief
tumble,タンブル,an acrobatic feat of rolling or turning end over end
tuna,ツナ,tropical American prickly pear of Jamaica
turbulence,タービュランス,unstable flow of a liquid or gas
turning,旋回,the act of changing or reversing the direction of the course
turtle,カメ,a sweater or jersey with a high close-fitting collar
twin,ツイン,either of two offspring born at the same time from the same pregnancy
twist,ねじれ,an unforeseen development
type,タイプ,a subdivision of a particular kind of thing
typical,典型的な,exhibiting the qualities or characteristics that identify a group or kind or category
typically,一般的に,in a typical manner
unable,できません,(usually followed by `to') not having the necessary means or skill or know-how
unafraid,恐れません,oblivious of dangers or perils or calmly resolute in facing them
unbelievable,信じられません,beyond belief or understanding
uncertainty,不確実性,being unsettled or in doubt or dependent on chance
unclear,不明瞭,poorly stated or described
uncontrollable,手に負えない,difficult to solve or alleviate
uncover,UNCOVER,make visible
underage,未成年,not of legal age
undergo,経験します,pass through
underline,下線,a line drawn underneath (especially under written matter)
underneath,下に,on the lower or downward side; on the underside of
underpants,パンツ,an undergarment that covers the body from the waist no further than to the thighs; usually worn next to the skin
undo,元に戻します,"cancel, annul, or reverse an action or its effect"
undress,裸になります,partial or complete nakedness
unemployed,失業者,people who are involuntarily out of work (considered as a group)
unemployment,失業,the state of being unemployed or not having a job
unexpected,予想外,not expected or anticipated
unexpectedly,意外と,in a way that was not expected
unfairly,不当,in an unfair manner
unfit,不適当,make unfit or unsuitable
unfold,展開],develop or come to a promising stage
unfortunate,不運な,a person who suffers misfortune
unfriendly,不親切な,not easy to understand or use
unheard,前代未聞,not necessarily inaudible but not heard
unify,統一,become one
uninterested,無関心な,not having or showing interest
uninteresting,つまらないです,arousing no interest or attention or curiosity or excitement
union,連合,an organization of employees formed to bargain with the employer
unique,ユニーク,radically distinctive and without equal
unite,ユナイト,act in concert or unite in a common purpose or belief
universe,宇宙,everything that exists anywhere
unlikely,そう,not likely to be true or to occur or to have occurred
unlucky,不運,having or bringing misfortune
unpack,アンパック,remove from its packing
unpredictable,予測不可能な,not capable of being foretold
unrelated,無関係,lacking a logical or causal relation
untidy,だらしありません,not neat and tidy
unusually,異常,to a remarkable degree or extent
unwanted,不要,not wanted; not needed
unwell,体調不良,somewhat ill or prone to illness
update,更新,news that updates your information
uplifted,隆起,fill with high spirits; fill with optimism
upload,アップロード,transfer a file or program to a central computer from a smaller computer or a computer at a remote location
upper,アッパー,the higher of two berths
upstairs,二階,the part of a building above the ground floor
up-to-date,最新の,reflecting the latest information or changes
upward,上向きに,directed up
urge,衝動,an instinctive motive
urgent,緊急,compelling immediate action
usage,使用法,the act of using
useless,役に立ちません,having no beneficial use or incapable of functioning usefully
vacancy,欠員,being unoccupied
vague,漠然としました,not clearly understood or expressed; ; -Anatole Broyard; - P.A.Sorokin; - John Locke
vain,うぬぼれが強い,characteristic of false pride; having an exaggerated sense of self-importance
valuable,貴重,something of value
van,バン,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)
variety,多様,a collection containing a variety of sorts of things
various,諸,of many different kinds purposefully arranged but lacking any uniformity
vary,変わります,"become different in some particular way, without permanently losing one's or its former characteristics or essence"
vast,莫大,unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge
vegetarian,ベジタリアン,eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products
vehicle,車両,a conveyance that transports people or objects
vein,静脈,a blood vessel that carries blood from the capillaries toward the heart
vessel,容器,a tube in which a body fluid circulates
vet,獣医,a doctor who practices veterinary medicine
vice,悪徳,moral weakness
victim,犠牲者,an unfortunate person who suffers from some adverse circumstance
victory,勝利,a successful ending of a struggle or contest
view,見る,a way of regarding situations or topics etc.
viewpoint,観点,a mental position from which things are viewed
violence,暴力,an act of aggression (as one against a person who resists)
violently,激しく,in a violent manner
virtual,バーチャル,being actually such in almost every respect
virus,ウイルス,(virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein
visa,ビザ,an endorsement made in a passport that allows the bearer to enter the country issuing it
visible,目に見えます,capable of being seen; or open to easy view
vision,ビジョン,a vivid mental image
visual,ビジュアル,relating to or using sight
visually,視覚的に,with respect to vision
vivid,鮮やか,evoking lifelike images within the mind
vividly,鮮やか,in a vivid manner
volcano,火山,a fissure in the earth's crust (or in the surface of some other planet) through which molten lava and gases erupt
volume,ボリューム,the amount of 3-dimensional space occupied by an object
volunteer,ボランティア,(military) a person who freely enlists for service
vote,投票,a choice that is made by counting the number of people in favor of each alternative
vowel,母音,a speech sound made with the vocal tract open
voyage,航海,an act of traveling by water
wagon,ワゴン,any of various kinds of wheeled vehicles drawn by an animal or a tractor
